sample,IGH_umis,IGH_ucdr3,IGH_Shannon,IGH_Pielou_evenness,IGH_Simpson,IGH_Simpson_evenness,IGH_Gini_index,IGH_d50,IGH_Largest_clone_percent,IGHA_percent_by_reads,IGHD_percent_by_reads,IGHE_percent_by_reads,IGHG1_percent_by_reads,IGHG2_percent_by_reads,IGHG3_percent_by_reads,IGHM_percent_by_reads,IGHA_percent_by_clone,IGHD_percent_by_clone,IGHE_percent_by_clone,IGHG1_percent_by_clone,IGHG2_percent_by_clone,IGHG3_percent_by_clone,IGHM_percent_by_clone,class_switched_percent_by_reads,naive_mutated_percent_by_reads,naive_unmutated_percent_by_reads,IGHM_IGHD_mutated_by_reads,class_switched_percent_by_clone,naive_mutated_percent_by_clone,naive_unmutated_percent_by_clone,IGHM_IGHD_mutated_by_clone,IGHA-IGHG1_CSR0,IGHA-IGHG1_CSR1,IGHA-IGHG2_CSR0,IGHA-IGHG2_CSR1,IGHA-IGHG3_CSR0,IGHA-IGHG3_CSR1,IGHA-IGHM_IGHD_CSR0,IGHA-IGHM_IGHD_CSR1,IGHG1-IGHG2_CSR0,IGHG1-IGHG2_CSR1,IGHG1-IGHG3_CSR0,IGHG1-IGHG3_CSR1,IGHG1-IGHM_IGHD_CSR0,IGHG1-IGHM_IGHD_CSR1,IGHG2-IGHG3_CSR0,IGHG2-IGHG3_CSR1,IGHG2-IGHM_IGHD_CSR0,IGHG2-IGHM_IGHD_CSR1,IGHG3-IGHM_IGHD_CSR0,IGHG3-IGHM_IGHD_CSR1,IGHA_observed_as_other_isotype,IGHG1_observed_as_other_isotype,IGHG2_observed_as_other_isotype,IGHG3_observed_as_other_isotype,IGHM_IGHD_observed_as_other_isotype,IGHA_SHM0,IGHG2_SHM0,IGHM_IGHD_SHM0,IGHA_SHM1,IGHG2_SHM1,IGHM_IGHD_SHM1,IGH_SHM0,IGH_SHM1,IGHG1_SHM0,IGHG1_SHM1,IGHG3_SHM0,IGHG3_SHM1
E1,2215,133,5.702119112,0.808205648,0.966419192,0.22390161,0.67932246,8.270676692,10.11286682,48.80361174,10.248307,0,0,0.135440181,0,40.81264108,22.22222222,17.77777778,0,0,1.481481481,0,58.51851852,48.93905192,12.23476298,38.8261851,23.96109637,19.6,52,28.4,64.67661692,0,0,0,0,0,0,0.025282167,0.015037594,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,,0,,0.019417476,0.023671672,0.015774467,0.002850667,0.028158207,0.015774467,0.008727115,0.013029573,0.012387004,,,,
E1_r,3141,157,5.710372111,0.782819602,0.953247865,0.136238201,0.697349824,8.280254777,17.637695,36.54886979,15.91849729,0,0.031836995,0,0,47.50079592,12.5,18.75,0,0.625,0,0,68.125,36.58070678,12.67112385,50.74816937,19.97991968,14.47368421,51.97368421,33.55263158,60.76923077,0,0,0,0,0,0,0.010506208,0.006369427,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,,,0.00729927,0.046532738,,0.002301094,0.030870833,,0.007366367,0.018466528,0.01066678,0,0,,
E2,3312,128,4.265609248,0.60937275,0.866297565,0.058431995,0.826799328,1.5625,29.95169082,72.22222222,4.740338164,0,0,1.690821256,0,21.34661836,32.82442748,5.34351145,0,0,3.053435115,0,58.77862595,73.91304348,9.057971014,17.02898551,34.72222222,36.70886076,40.92827004,22.3628692,64.66666667,0,0,0,0,0,0,0.032608696,0.0234375,0,0,0,0,0,0,0,0,0,0,0,0,0.069767442,,0,,0.035714286,0.043091895,0.021702256,0.007015436,0.04525593,0.038697414,0.010243753,0.033318984,0.022902613,,,,
E2_r,4183,126,4.488089204,0.643243392,0.902971278,0.081795449,0.815348595,2.380952381,19.05331102,72.31651924,12.2878317,0,0,0,0,15.39564906,29.77099237,20.61068702,0,0,0,0,49.61832061,72.31651924,5.522352379,22.16112838,19.94818653,34.8,35.6,29.6,54.60122699,0,0,0,0,0,0,0.041118814,0.03968254,0,0,0,0,0,0,0,0,0,0,0,0,0.128205128,,,,0.054347826,0.042540121,,0.003457817,0.044939447,,0.008589968,0.031720779,0.021239586,,,,
E3,2381,138,5.663406996,0.796706409,0.961394817,0.187704763,0.681597672,6.52173913,11.9697606,57.53884922,10.16379672,0,0,0,0,32.29735405,29.37062937,13.98601399,0,0,0,0,56.64335664,57.53884922,9.617807644,32.84334313,22.65084075,30.90277778,40.625,28.47222222,58.79396985,0,0,0,0,0,0,0.065098698,0.036231884,0,0,0,0,0,0,0,0,0,0,0,0,0.119047619,,,,0.04950495,0.019227813,,0.003915177,0.025740328,,0.00935287,0.012725891,0.014417049,,,,
E3_r,2595,120,5.25460073,0.760776598,0.94746901,0.158636518,0.726390495,5.833333333,17.0327553,63.89210019,8.439306358,0,0,0.038535645,0,27.6300578,28.92561983,11.57024793,0,0,0.826446281,0,58.67768595,63.93063584,8.285163776,27.78420039,22.97008547,31.77570093,40.18691589,28.03738318,58.90410959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0.021322589,0,0.004729583,0.03072811,0,0.011356889,0.015329381,0.017368641,,,,
E4,2530,89,4.854045391,0.749574615,0.943580434,0.199149973,0.733294844,5.617977528,14.54545455,70.75098814,5.731225296,0,0,0,0,23.51778656,49.46236559,7.52688172,0,0,0,0,43.01075269,70.75098814,6.166007905,23.08300395,21.08108108,40.36144578,38.55421687,21.08433735,64.64646465,0,0,0,0,0,0,0.05256917,0.04494382,0,0,0,0,0,0,0,0,0,0,0,0,0.086956522,,,,0.085106383,0.04436713,,0.002441252,0.043728366,,0.008316916,0.032104225,0.022609489,,,,
E4_r,3105,136,5.677778318,0.80110167,0.96679907,0.221467925,0.689229895,8.088235294,10.69243156,44.44444444,7.922705314,0,0,0,0,47.63285024,28.67132867,20.27972028,0,0,0,0,51.04895105,44.44444444,20.80515298,34.75040258,37.44927536,27.64227642,43.08943089,29.26829268,59.5505618,0,0,0,0,0,0,0.158776167,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0.097560976,,,,0.04040404,0.043915385,,0.008346962,0.041854454,,0.00894495,0.02415515,0.018041886,,,,
L1,44772,11856,12.71699148,0.939679424,0.998776903,0.068960554,0.433439594,21.7611336,2.791923524,1.306620209,13.46600554,0.042437238,0.752702582,4.833378004,0.196551416,79.40230501,0.904264145,16.15231458,0.024888004,0.348432056,1.368840219,0.190808031,81.01045296,7.131689449,22.75529349,70.11301706,24.50275379,3.463646768,37.18450696,59.35184627,38.51865718,0,0,0.001876173,0.000168691,0,0,0.015009381,0.001096491,0.002836594,0.000337382,0,0,0.000536049,0.000168691,6.70E-05,8.43E-05,0.016974895,0.001939946,0.001005092,0.000168691,0.128440367,0.119047619,0.16969697,0.130434783,0.003373702,0.013470333,0.002520119,0.003724591,0.021793787,0.011422573,0.005693749,0.003895969,0.006039365,0.015131331,0.016287473,0.01161648,0.011656777
L1_r,48419,12214,12.73484611,0.938023966,0.998590153,0.058072438,0.435645272,21.6800393,3.137198207,1.133852413,13.22001694,0.028914269,0.735248559,5.766331399,0.198269274,78.91736715,0.724987917,16.1108426,0.056387949,0.265828903,1.417754149,0.144997583,81.2792009,7.862615915,21.80755489,70.3298292,23.66851968,3.244959144,36.48815472,60.26688613,37.71189015,0,0,0,0,0.001156571,8.19E-05,0.01164832,0.000818733,0.000413061,0.000163747,0,0,0.002829468,0.00049124,0.002664243,0.000163747,0.012928809,0.002292451,0.001404407,0.00049124,0.122222222,0.242424242,0.181818182,0.5,0.004352557,0.021764454,0.002184888,0.003720304,0.027324973,0.011545593,0.005619761,0.003923366,0.005983304,0.014321981,0.016757549,0.007954028,0.015731829
L2,117512,56276,14.17759346,0.898440106,0.999066313,0.019031609,0.447545251,16.10633307,1.387092382,1.070528967,14.45979985,0.071482061,1.600687589,14.33215331,0.292736061,68.17261216,0.351469625,20.58509355,0.012060232,0.360084077,1.938251611,0.174011922,76.57902898,17.36758799,25.65780516,56.97460685,31.05053397,5.355597278,35.67557491,58.96882781,37.6943315,0,0,0.000987133,0.000124387,0,0,0.000706311,0.000337622,0.03430288,0.000586396,0.000442508,3.55E-05,0.004603785,0.000604165,0.01105419,0.000337622,0.049339642,0.004051461,0.011581796,0.00042647,0.12254902,0.272727273,0.240888889,0.376237624,0.005292834,0.017483296,0.016270552,0.004672362,0.025249197,0.022742784,0.005829556,0.006834909,0.006765209,0.024271851,0.026439319,0.021718017,0.019489741
L2_r,110553,52604,14.07454781,0.897446351,0.999035981,0.019719479,0.44938597,16.02349631,1.373097067,1.07097953,14.05208362,0.086836178,1.623655622,13.76715241,0.43146726,68.96782539,0.392876337,20.07931654,0.018531903,0.333574248,1.634513816,0.151961602,77.38922555,16.980091,23.62577225,59.39413675,28.45795971,4.888811219,32.94741288,62.1637759,34.64094319,0.000180909,3.80E-05,0.000904544,0.00013307,0,0,0.000687453,0.000285149,0.031423842,0.000608319,0.000126636,3.80E-05,0.008900708,0.000456239,0.009389162,0.00022812,0.037547602,0.002509315,0.010221342,0.000361189,0.099056604,0.294444444,0.192743764,0.329268293,0.003497047,0.020411593,0.016017019,0.003967073,0.025990778,0.022602206,0.004964819,0.006184013,0.005858788,0.024999439,0.026453095,0.013715823,0.01854902
L3,57685,25340,13.68064795,0.935164905,0.998646265,0.029151411,0.39622753,22.06393054,2.917569559,1.827164774,16.28846321,0,0.280835573,9.456531161,0.057207246,72.08979804,0.515084621,19.19755238,0,0.201386468,1.351613028,0.085201967,78.64916154,11.62173875,24.67885932,63.69940192,27.9241286,3.652418222,36.09701557,60.25056621,37.46540899,0,0,0.013088325,0.000197316,0.001872237,7.89E-05,0.004992632,0.000789266,0.003120395,0.00023678,0,0,0.005426021,0.000276243,0.011580133,0.000157853,0.042038658,0.002407261,0.000104013,7.89E-05,0.180451128,0.230769231,0.206303725,0.227272727,0.003495941,0.024798942,0.013011849,0.003859614,0.028625569,0.02729139,0.00522445,0.005158778,0.006015753,0.019208378,0.021270134,0.01780641,0.01748554
L3_r,65646,21445,13.2968997,0.924143233,0.998052767,0.023947273,0.433357369,20.78339939,3.616366572,1.760960302,14.87066996,0.003046644,0.25896475,11.90628523,0.054839594,71.14523353,0.554867703,17.80162333,0.004585683,0.279726693,1.79758793,0.077956619,79.48365204,13.98409652,21.09039393,64.92550955,24.51917968,4.328886469,34.36904438,61.30206915,35.9241605,0.000304664,4.66E-05,0.011272583,9.33E-05,0.000258965,4.66E-05,0.005590592,0.000839356,0.022925997,0.000606202,7.62E-05,4.66E-05,0.004509033,0.000326416,0.011150717,0.000139893,0.026642903,0.002751224,0.001127258,0.000233155,0.157024793,0.262295082,0.181122449,0.411764706,0.003961058,0.023029126,0.010901159,0.00332352,0.026369705,0.027824597,0.004976013,0.004611818,0.005916196,0.017070947,0.019405634,0.00984186,0.014235399
L4,111375,48325,12.62428531,0.811304253,0.987725925,0.001685929,0.513313487,9.282979824,9.195959596,8.141863075,12.03501684,0.634792368,0.727272727,14.98361392,0.151739618,63.32570146,0.394393544,19.78237566,0.012135186,0.262929029,1.124527233,0.153712356,78.26992699,24.63928171,18.03367003,57.32704826,23.92980115,3.090191639,31.31316495,65.59664341,32.31165707,0,0,1.80E-05,2.07E-05,0,0,0.014895623,0.00070357,0.005602694,0.000248319,3.59E-05,2.07E-05,0.002729517,0.000372478,0.00101459,0.000103466,0.034828283,0.002296948,0.009158249,0.000434558,0.174358974,0.230769231,0.221223022,0.302631579,0.003742483,0.009023324,0.002935508,0.003162506,0.022770147,0.017810145,0.004266725,0.003696078,0.004713254,0.016312428,0.019778165,0.012575737,0.01294683
L4_r,106526,43439,12.34467027,0.801253198,0.986369815,0.001688956,0.533162113,8.278275283,9.609860504,2.263297223,11.60280119,0.066650395,1.408106941,6.600266602,0.113587293,77.94529035,0.460912382,19.43251568,0.011241765,0.278795782,1.173640308,0.143894597,78.49899948,10.45190845,25.00422432,64.54386722,27.92267695,3.341280162,33.25025285,63.40846698,34.39964124,0.00061018,2.30E-05,0.000431819,6.91E-05,3.75E-05,2.30E-05,0.058408276,0.000759686,0.003585979,0.000230208,0.001098323,2.30E-05,0.008852299,0.000437395,0.001135873,9.21E-05,0.131535963,0.002509266,0.008195182,0.000506457,0.170731707,0.233870968,0.229885057,0.375,0.004143646,0.016074936,0.006636324,0.003351517,0.022436681,0.018074936,0.004720094,0.003995697,0.005206763,0.012361635,0.021495237,0.014746087,0.01504756
PosCtrl_m20210506,318201,160936,15.95087981,0.922222605,0.999808506,0.032448252,0.459363952,11.15225928,0.646446743,12.16463807,1.223754796,0.420803203,1.427713929,29.86194261,2.513819881,52.38732751,12.44825765,1.954426987,0.698415222,2.04073521,26.14855235,3.355232152,53.35438043,46.3889177,25.44115198,28.16993033,47.455024,44.73644553,29.88555306,25.37800141,54.07823176,0.015072234,0.001994582,0.08705818,0.01530422,0.020575045,0.003144107,0.155508625,0.020063876,0.023956556,0.004225282,0.003095528,0.001168166,0.027438632,0.003603917,0.053362497,0.009531739,0.233597632,0.041084655,0.047460567,0.008363573,0.205035807,0.285475793,0.190202167,0.382636656,0.096713276,0.016706206,0.012179092,0.009091985,0.020924935,0.014419095,0.010467358,0.011254516,0.013108397,0.019348382,0.020427201,0.015427623,0.016613294
PosCtrl_m20210506_r,327365,164161,15.95540582,0.920960133,0.999795426,0.029776895,0.46279463,10.93987001,0.631405312,12.4206925,1.273502054,0.453927573,1.575305851,29.14483833,2.574190888,52.5575428,12.21355477,2.047202304,0.727550157,2.232406942,26.04364195,3.508383965,53.22725991,46.16895514,25.44346525,28.38757961,47.2654122,44.5673782,30.16905654,25.26356526,54.42473324,0.013358178,0.002180786,0.094035709,0.01630107,0.026438379,0.003685406,0.164764101,0.020997679,0.025616666,0.004763616,0.003011929,0.001364514,0.036815176,0.004367663,0.053475478,0.010051108,0.248035068,0.044614738,0.060174423,0.009496775,0.217499547,0.295690936,0.202577057,0.38449417,0.103570782,0.016433675,0.01251149,0.009288193,0.02130559,0.014665488,0.010768439,0.011485895,0.013426196,0.020343135,0.021484793,0.016466345,0.017481985
S1,82933,10465,11.49473288,0.860816881,0.995516851,0.021314619,0.641282318,7.606306737,5.707016507,28.1805795,16.28905261,0.923637153,3.836832142,11.7275391,0.739150881,38.30320861,12.88697564,17.93368749,0.57702876,2.546253893,3.288148012,0.760212493,62.00769372,45.40773878,12.62223723,41.970024,23.12092766,26.53442497,32.32045717,41.14511786,43.99401645,0.022656843,0.002293359,0.007861768,0.002006689,0.000723476,0.00057334,0.034955928,0.01270903,0.066656216,0.002771142,0.002821555,0.001242236,0.008983155,0.003057812,0.063171476,0.002102246,0.0301207,0.005064501,0.008754054,0.001528906,0.124378109,0.302158273,0.289693593,0.481927711,0.026716227,0.033021356,0.002943607,0.003728052,0.035119885,0.016208816,0.007299748,0.013556233,0.01394244,0.044721331,0.043085243,0.007318791,0.016504827
S1_r,79235,10045,11.66010334,0.87708265,0.997236383,0.036022368,0.621627957,9.367844699,4.039881366,33.33627816,14.56427084,0.559096359,2.969647252,5.820660062,0.210765445,42.53928188,13.23968055,16.38602906,0.567689791,2.10718753,2.857692678,0.32714327,64.51457712,42.89644728,12.8415473,44.26200543,22.48817575,24.38442284,33.55841434,42.05716282,44.38029253,0.055909636,0.001791936,0.043856881,0.001194624,0.04070171,0.000298656,0.042531709,0.01333997,0.011989651,0.0024888,0.001564965,0.000696864,0.004543447,0.00149328,0.002296965,0.000696864,0.020861993,0.004380289,0.001564965,0.000398208,0.117005814,0.264840183,0.262626263,0.382352941,0.023308903,0.028094063,0.006386713,0.003728671,0.035202054,0.01567346,0.007373688,0.013125998,0.013472791,0.038952858,0.037913031,0.009474231,0.021384349
S2,683759,190693,13.7033663,0.781224012,0.998528575,0.003563913,0.702838106,0.568977362,1.406489713,31.19315431,5.105892573,0.011846279,0.228735563,7.450578347,0.706974241,55.30281868,5.640757088,16.30832149,0.009974814,0.261838857,3.333582704,0.857833969,73.58769108,39.59128874,19.62504333,40.78366793,32.4871081,20.03274302,29.42963771,50.53761927,36.8021098,0.006326791,0.000430011,0.132932802,0.004163761,0.046577815,0.001195639,0.313642672,0.014116931,0.010685051,0.000760384,0.000627414,0.000235981,0.00794432,0.000697456,0.016878754,0.001452597,0.123182291,0.007803118,0.049773385,0.002926169,0.278956676,0.434285714,0.304308797,0.428488372,0.023649877,0.034167997,0.010972782,0.009850166,0.035185052,0.019856155,0.007104164,0.017575032,0.011617583,0.024656434,0.027399079,0.012954225,0.017449741
S2_r,678417,190250,13.74272994,0.783618019,0.998562133,0.003655582,0.701147872,0.596057819,1.329418337,29.85007746,4.930448382,0.005159069,0.232010695,9.021000358,0.772091501,55.18921253,5.607247674,15.71829268,0.00999955,0.257488413,3.335349909,0.941457634,74.13016414,39.88033908,19.25777214,40.86188878,32.03240312,19.87685468,29.6201549,50.50299042,36.96828773,0.003068909,0.000436268,0.151828448,0.004131406,0.046636508,0.001187911,0.283623494,0.014680683,0.00916398,0.000709593,0.000682471,0.000278581,0.006187935,0.000714849,0.021079955,0.001508541,0.133588928,0.008220762,0.042518097,0.00296452,0.287828801,0.450485437,0.312696747,0.39511418,0.024570472,0.034538722,0.012403917,0.009232269,0.035029061,0.019274531,0.006881807,0.017142012,0.011318644,0.027525952,0.028692385,0.012713841,0.016349735
S3,238152,102656,14.41487546,0.865890461,0.999083639,0.010630381,0.531148758,6.599711658,1.550690315,28.84838255,9.19412812,0.0008398,0.247321039,2.930481373,0.218767846,58.56007928,3.916066622,14.87762886,0.001902388,0.160751824,0.84656286,0.198799593,79.99828785,32.2457926,21.23643723,46.51777016,31.34334833,13.16613976,29.69647136,57.13738889,34.19918367,0.004963217,0.000321462,0.021817999,0.00069163,0.003766502,0.000136378,0.128388592,0.005016755,0.01069485,0.000370168,0.000218348,9.74E-05,0.002414424,0.000243532,0.010350532,0.000340945,0.01669522,0.001480673,0.011463267,0.000623441,0.145980083,0.479289941,0.282022472,0.449760766,0.007252873,0.03498917,0.006470345,0.005880394,0.036801844,0.017254997,0.005606587,0.01433992,0.009409238,0.016377532,0.023818493,0.01449924,0.017853621
S3_r,218986,98059,14.45846801,0.87197105,0.999164961,0.012212534,0.51681031,7.417983051,1.446211173,28.4123186,7.784515905,0.00045665,0.200469436,3.089695232,0.206405889,60.30613829,3.792814036,12.62339635,0.000999161,0.159865713,0.800327725,0.180848088,82.44174893,31.9093458,20.69173372,47.39892048,30.38850774,12.79396584,29.14754617,58.05848799,33.42377216,0.002648571,0.000316136,0.009585088,0.000785242,0.000118729,5.10E-05,0.092841552,0.004221948,0.010571452,0.000265146,6.39E-05,5.10E-05,0.003858694,0.000275344,0.001420182,0.000254949,0.011667413,0.001315535,0.006114546,0.000662866,0.131981033,0.4375,0.277153558,0.475138122,0.006423025,0.035156204,0.005697277,0.005308919,0.037116108,0.017276619,0.005291547,0.013837382,0.009064654,0.018675224,0.022285941,0.009856876,0.013524557
S4,357071,138371,14.33568603,0.839415223,0.998905342,0.006602015,0.582119137,2.775147972,1.57559701,36.10346402,10.11199453,0.010642141,0.204161077,3.371878422,0.376395731,49.82146408,4.199352008,18.67980378,0.006997754,0.202235083,1.072755645,0.245621156,75.59323457,40.06654139,18.5268476,41.40661101,30.91236186,13.91842308,28.79479642,57.28678049,33.45059123,0.011266667,0.000245716,0.024068042,0.000794964,0.001221046,0.000180674,0.134581078,0.006092317,0.005953998,0.000505886,0.000204441,0.000130085,0.002092021,0.000462525,0.005612329,0.000556475,0.019206264,0.001951276,0.007645538,0.000867234,0.157807032,0.456747405,0.281148076,0.498575499,0.009074341,0.034613287,0.010501549,0.005170395,0.035256507,0.017672218,0.005285555,0.01604334,0.009046407,0.020711713,0.022847891,0.013176858,0.016802285
S4_r,337673,131993,14.31217815,0.841392852,0.998913504,0.006973019,0.578666982,2.938034593,1.545578118,34.44042017,9.481954435,0.015695658,0.223589094,3.07486829,0.455766378,52.30770598,4.338057126,17.55929217,0.007342683,0.199720978,1.058814891,0.253322564,76.58344959,38.21033959,19.7315154,42.05814501,31.93336113,14.20627089,29.05315153,56.74057758,33.86395699,0.004830117,0.000250013,0.026244325,0.000840954,0.002120395,0.00019698,0.126643232,0.006485192,0.005022611,0.000424265,0.00045014,0.000143947,0.001015776,0.000416689,0.0056149,0.000621245,0.018263231,0.002098596,0.006150921,0.000954596,0.162153013,0.433823529,0.288488211,0.51884058,0.00959202,0.034702434,0.010078284,0.006034665,0.035282075,0.017517002,0.005367141,0.016093162,0.009214734,0.021788828,0.024889803,0.011461216,0.016806339
